blknight,case,contrib,coop,cost,dstres,gnpcst,gnprat,inst,length,natsec,imports,exports,policies,relate,result,success,tarcst,us,year,pre_73,trade,blk_m,blk_x,blk_trd,in_coop
0,761,2,1,1,2,0.30,452.00,1.00,5,0,9.00,11.00,0,0,3,6,10.00,1,1976,0,20,0.00,0.00,0.00,1.00
0,762,4,1,2,3,0.10,100.00,0.00,1,1,22.00,41.00,0,1,4,16,17.00,1,1976,0,63,0.00,0.00,0.00,0.00
1,763,3,2,1,1,-5.50,592.00,0.00,14,0,10.00,33.00,0,0,2,6,-160.00,1,1976,0,43,10.00,33.00,43.00,0.00
0,771,3,1,1,3,0.10,959.00,0.00,4,0,12.00,14.00,0,0,2,6,2.00,1,1977,0,26,0.00,0.00,0.00,0.00
1,772,2,1,1,2,0.40,355.00,0.00,9,0,36.00,37.00,0,0,3,6,21.00,1,1977,0,73,36.00,37.00,73.00,0.00
0,773,2,1,2,2,0.10,38.00,0.00,6,0,19.00,7.00,0,0,3,6,62.00,1,1977,0,26,0.00,0.00,0.00,0.00
0,774,3,1,2,3,0.00,0.10,0.00,1,1,4.00,3.00,0,1,3,9,40.00,0,1977,0,7,0.00,0.00,0.00,0.00
0,775,3,1,1,1,1.00,913.00,0.00,2,0,29.00,24.00,0,1,4,12,22.00,1,1977,0,53,0.00,0.00,0.00,0.00
0,776,3,1,1,1,0.50,685.00,0.00,4,0,30.00,33.00,0,0,2,6,13.00,1,1977,0,63,0.00,0.00,0.00,0.00
0,777,3,1,1,2,0.10,12.00,0.00,7,0,20.00,17.00,0,0,3,9,94.00,1,1977,0,37,0.00,0.00,0.00,0.00
0,781,1,1,2,3,3.30,249.00,0.00,5,0,34.00,34.00,0,1,1,1,43.00,0,1978,0,68,0.00,0.00,0.00,0.00
0,782,2,1,2,2,0.00,11.00,0.00,3,1,21.00,23.00,0,0,2,4,5.00,1,1978,0,44,0.00,0.00,0.00,0.00
0,783,2,2,2,2,0.00,34.00,0.00,4,1,19.00,9.00,0,0,2,4,0.20,1,1978,0,28,0.00,0.00,0.00,0.00
0,784,2,2,2,3,0.00,18.00,0.00,4,1,12.00,13.00,0,0,2,4,12.00,1,1978,0,25,0.00,0.00,0.00,0.00
0,785,1,2,2,3,0.00,2.00,0.00,2,0,5.00,1.00,0,0,1,1,51.00,1,1978,0,6,0.00,0.00,0.00,0.00
1,786,1,3,3,2,0.40,16.00,1.00,5,1,2.00,6.00,0,1,1,1,-77.00,0,1978,0,8,2.00,6.00,8.00,3.00
1,787,1,3,1,2,3.50,41.00,0.00,10,1,2.00,22.00,1,1,3,3,254.00,0,1978,0,24,2.00,22.00,24.00,0.00
0,788,2,1,3,3,1.30,118.00,0.00,12,0,6.00,34.00,1,0,2,4,245.00,1,1978,0,40,0.00,0.00,0.00,0.00
0,791,3,3,3,1,3.80,28.00,0.00,2,0,12.00,14.00,1,1,4,12,3349.00,1,1979,0,26,0.00,0.00,0.00,0.00
1,792,1,2,1,2,0.20,114.00,0.00,11,1,13.00,6.00,0,0,1,1,34.00,1,1979,0,19,13.00,6.00,19.00,0.00
0,793,3,3,2,3,0.00,1.00,1.00,1,0,3.00,1.00,0,0,4,12,7.00,0,1979,0,4,0.00,0.00,0.00,3.00
1,794,3,2,1,1,1.70,562.00,0.00,3,0,17.00,27.00,0,0,2,6,48.00,1,1979,0,44,17.00,27.00,44.00,0.00
0,801,1,3,3,3,0.10,2.00,0.00,1,1,6.00,1.00,1,0,1,1,525.00,1,1980,0,7,0.00,0.00,0.00,0.00
0,802,2,1,2,2,0.10,69.00,0.00,10,1,7.00,3.00,0,0,2,4,22.00,1,1980,0,10,0.00,0.00,0.00,0.00
1,811,2,1,3,2,3.20,1727.00,0.00,9,1,27.00,39.00,1,0,4,8,45.00,1,1981,0,66,27.00,39.00,66.00,0.00
1,812,3,3,2,1,0.10,17.00,0.00,6,0,5.00,3.00,0,0,3,9,246.00,1,1981,0,8,5.00,3.00,8.00,0.00
0,813,1,2,3,3,0.00,2.00,1.00,1,0,3.00,0.30,0,0,1,1,480.00,1,1981,0,3,0.00,0.00,0.00,2.00
0,814,3,2,1,2,0.50,40.00,1.00,1,0,18.00,50.00,0,1,2,6,300.00,0,1981,0,68,0.00,0.00,0.00,2.00
0,821,3,3,2,1,0.60,3.00,0.00,1,1,4.00,5.00,1,0,4,12,979.00,0,1982,0,9,0.00,0.00,0.00,0.00
1,822,3,2,1,1,7.80,2565.00,0.00,6,0,40.00,34.00,1,1,3,9,80.50,1,1982,0,74,40.00,34.00,74.00,0.00
0,823,4,1,2,2,5.10,103.00,0.00,2,1,100.00,100.00,1,1,4,16,27.00,0,1982,0,200,0.00,0.00,0.00,0.00
0,831,1,1,2,3,0.00,0.30,0.00,3,0,0.00,0.00,0,1,1,1,0.00,0,1983,0,0,0.00,0.00,0.00,0.00
0,832,1,4,2,3,0.00,2.00,0.00,1,0,3.00,0.30,0,0,1,1,0.00,1,1983,0,3,0.00,0.00,0.00,0.00
0,833,2,1,1,2,0.40,462.00,0.00,5,0,8.00,6.00,0,0,2,4,27.00,1,1983,0,14,0.00,0.00,0.00,0.00
0,834,2,3,2,1,0.00,32900.00,1.00,1,0,0.00,2.00,1,0,4,8,0.00,1,1983,0,2,0.00,0.00,0.00,3.00
0,841,3,2,2,2,0.00,25.00,1.00,6,0,1.00,5.00,1,0,2,6,130.00,1,1984,0,6,0.00,0.00,0.00,2.00
0,851,3,4,2,2,0.80,54.00,1.00,5,0,16.00,8.00,0,0,2,6,550.00,1,1985,0,24,0.00,0.00,0.00,4.00
